                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.8971,                 3.0142,                 2.1654,                0.54898,                0.30906,                0.32659,                0.20706,                 2.8368,                 3.1005,                 2.2127,             0.00033466,             0.00033466,             0.00033466
                     35,                 2.8685,                 2.9729,                 2.1666,                0.60966,                0.32501,                0.33745,                0.20805,                 2.8437,                 3.0531,                 2.2156,             0.00033268,             0.00033268,             0.00033268
                     36,                 2.8838,                  2.984,                 2.1644,                0.58619,                0.31903,                0.32833,                0.20719,                 2.8337,                  3.096,                 2.2005,              0.0003307,              0.0003307,              0.0003307
                     37,                 2.8832,                 2.9491,                 2.1628,                0.58034,                0.32965,                0.32905,                 0.2034,                 2.8942,                 3.1372,                 2.2273,             0.00032872,             0.00032872,             0.00032872
                     38,                 2.8953,                 2.9621,                 2.1521,                0.59762,                0.32082,                0.32924,                 0.2058,                  2.863,                 3.1376,                 2.2118,             0.00032674,             0.00032674,             0.00032674
                     39,                 2.9043,                 2.9495,                   2.16,                0.57612,                0.32169,                0.33687,                0.21042,                 2.8135,                 3.0872,                 2.2009,             0.00032476,             0.00032476,             0.00032476
                     40,                 2.8773,                 2.9244,                 2.1536,                0.58231,                 0.3227,                0.33853,                0.21004,                 2.9117,                 3.1161,                 2.2266,             0.00032278,             0.00032278,             0.00032278
                     41,                 2.8604,                 2.9006,                 2.1536,                0.64431,                0.29054,                 0.3305,                0.20488,                 2.8451,                 3.0693,                 2.2102,              0.0003208,              0.0003208,              0.0003208
                     42,                 2.8653,                 2.9176,                 2.1516,                0.61333,                0.31035,                0.33963,                0.21477,                 2.8139,                 3.0714,                 2.1941,             0.00031882,             0.00031882,             0.00031882
                     43,                 2.8768,                 2.8871,                 2.1425,                0.55845,                0.33552,                0.34134,                0.21374,                 2.8478,                 3.0476,                 2.2084,             0.00031684,             0.00031684,             0.00031684
                     44,                 2.8669,                 2.8826,                  2.154,                0.57709,                0.31438,                0.33826,                 0.2113,                 2.8274,                 3.0081,                 2.1987,             0.00031486,             0.00031486,             0.00031486
                     45,                 2.8743,                 2.8592,                 2.1372,                0.55732,                0.33438,                0.34392,                0.21509,                 2.8982,                  3.057,                 2.2365,             0.00031288,             0.00031288,             0.00031288
                     46,                 2.8386,                 2.8423,                 2.1365,                0.63261,                0.31516,                0.35216,                0.22088,                 2.8319,                 3.0113,                 2.1917,              0.0003109,              0.0003109,              0.0003109
                     47,                 2.8638,                 2.8531,                 2.1371,                0.57445,                0.32708,                0.34241,                0.21748,                 2.8136,                 3.0236,                 2.1876,             0.00030892,             0.00030892,             0.00030892
                     48,                 2.8491,                 2.8307,                 2.1305,                 0.6184,                0.32271,                0.35462,                0.22388,                 2.8244,                  2.972,                 2.1827,             0.00030694,             0.00030694,             0.00030694
                     49,                 2.8281,                 2.8158,                 2.1343,                0.61129,                0.31627,                0.34036,                0.21336,                 2.8322,                 2.9615,                 2.1777,             0.00030496,             0.00030496,             0.00030496
                     50,                 2.8578,                 2.8534,                 2.1382,                0.58066,                0.34578,                0.36366,                0.22618,                 2.8815,                 2.9789,                 2.2005,             0.00030298,             0.00030298,             0.00030298
                     51,                 2.8578,                 2.8063,                 2.1262,                0.56546,                0.34911,                0.35651,                0.22253,                 2.8308,                 3.0633,                 2.2041,               0.000301,               0.000301,               0.000301
                     52,                 2.8521,                 2.7989,                 2.1316,                0.53426,                0.34963,                0.34477,                0.20998,                 2.9118,                 2.9836,                  2.219,             0.00029902,             0.00029902,             0.00029902
                     53,                  2.815,                 2.7683,                 2.1242,                 0.6385,                0.31022,                0.32948,                0.19924,                 2.8556,                 2.9901,                 2.2135,             0.00029704,             0.00029704,             0.00029704
                     54,                 2.8167,                 2.7781,                 2.1278,                0.49642,                0.36471,                0.34159,                 0.2077,                 2.8901,                 2.9869,                 2.2091,             0.00029506,             0.00029506,             0.00029506
                     55,                 2.8457,                 2.7787,                 2.1226,                0.57311,                0.31152,                 0.3297,                0.19943,                 2.8589,                 2.9773,                 2.2005,             0.00029308,             0.00029308,             0.00029308
                     56,                 2.8261,                 2.7483,                 2.1325,                0.62755,                0.32537,                0.35414,                0.22122,                  2.837,                  3.003,                 2.1924,              0.0002911,              0.0002911,              0.0002911
                     57,                 2.7973,                 2.7533,                 2.1155,                0.63596,                0.32183,                0.32826,                0.20048,                 2.8265,                 2.9185,                 2.1735,             0.00028912,             0.00028912,             0.00028912
                     58,                 2.8117,                 2.7291,                 2.1128,                0.53641,                0.33253,                0.32599,                0.20141,                 2.8397,                 3.0138,                 2.1993,             0.00028714,             0.00028714,             0.00028714
                     59,                 2.8247,                 2.7447,                 2.1253,                0.58812,                0.35766,                0.34169,                0.21272,                 2.8056,                 2.9988,                 2.1714,             0.00028516,             0.00028516,             0.00028516
                     60,                 2.8055,                 2.7105,                 2.1137,                0.56682,                0.38203,                0.37101,                0.23201,                 2.8621,                 2.9594,                 2.2028,             0.00028318,             0.00028318,             0.00028318
                     61,                 2.8058,                 2.7057,                 2.1279,                0.55438,                 0.3597,                 0.3604,                0.23277,                 2.7976,                      3,                 2.1846,              0.0002812,              0.0002812,              0.0002812
                     62,                  2.834,                 2.7244,                 2.1157,                 0.5309,                0.37865,                0.35278,                0.22591,                 2.8208,                 3.0095,                 2.1822,             0.00027922,             0.00027922,             0.00027922
                     63,                 2.7861,                 2.6864,                 2.1102,                0.59189,                0.34477,                0.35795,                0.22654,                 2.7821,                 2.9708,                 2.1733,             0.00027724,             0.00027724,             0.00027724
                     64,                 2.8116,                 2.6913,                 2.1037,                0.56507,                0.37529,                0.35295,                 0.2176,                 2.8123,                 2.9542,                 2.1817,             0.00027526,             0.00027526,             0.00027526
                     65,                 2.7606,                 2.6657,                 2.0959,                 0.6217,                0.35348,                 0.3654,                0.22597,                 2.8559,                 2.9349,                 2.2017,             0.00027328,             0.00027328,             0.00027328
                     66,                 2.8022,                  2.677,                 2.1097,                0.57993,                0.35594,                0.36834,                0.23261,                 2.8321,                 2.9807,                 2.1829,              0.0002713,              0.0002713,              0.0002713
                     67,                 2.8102,                 2.6881,                 2.1059,                0.61569,                0.35947,                0.35738,                0.22185,                 2.8634,                 2.9845,                 2.1969,             0.00026932,             0.00026932,             0.00026932
                     68,                 2.7996,                 2.6806,                 2.1021,                0.55047,                 0.3391,                0.33739,                0.20738,                 2.8102,                 2.9135,                 2.1833,             0.00026734,             0.00026734,             0.00026734
                     69,                 2.7914,                 2.6866,                 2.1054,                0.63137,                0.34053,                0.36258,                0.22494,                 2.8467,                 2.9912,                 2.1984,             0.00026536,             0.00026536,             0.00026536
                     70,                 2.8144,                 2.6601,                 2.1035,                0.63635,                 0.3272,                0.34869,                0.21495,                 2.8146,                 2.9526,                 2.1865,             0.00026338,             0.00026338,             0.00026338
                     71,                 2.8101,                 2.6615,                 2.1095,                 0.5305,                0.34218,                0.33772,                0.20876,                 2.8338,                 2.9326,                 2.1747,              0.0002614,              0.0002614,              0.0002614
                     72,                 2.8023,                 2.6504,                 2.1049,                0.60261,                0.33342,                0.36871,                0.22802,                 2.8578,                 2.9597,                 2.1965,             0.00025942,             0.00025942,             0.00025942
                     73,                 2.8176,                 2.6506,                 2.1084,                0.63668,                0.33451,                0.37331,                0.23158,                 2.8528,                 2.9716,                 2.1883,             0.00025744,             0.00025744,             0.00025744
                     74,                  2.763,                 2.6511,                 2.0995,                0.60256,                0.34175,                0.35647,                0.22334,                 2.8315,                 2.9533,                 2.1768,             0.00025546,             0.00025546,             0.00025546
                     75,                 2.7735,                 2.6192,                 2.0863,                0.59309,                0.36066,                0.36731,                0.23203,                 2.8306,                 2.9282,                 2.1768,             0.00025348,             0.00025348,             0.00025348
                     76,                 2.7755,                 2.6088,                 2.0963,                0.62746,                0.34775,                0.36369,                0.22566,                 2.8571,                 2.9358,                 2.1944,              0.0002515,              0.0002515,              0.0002515
                     77,                 2.7851,                 2.6319,                 2.0945,                0.59755,                0.33591,                0.36343,                0.22772,                 2.8274,                 2.9316,                 2.1808,             0.00024952,             0.00024952,             0.00024952
                     78,                 2.7591,                 2.6028,                 2.0928,                 0.6253,                0.35913,                0.37639,                0.23392,                 2.8357,                 2.9327,                 2.1774,             0.00024754,             0.00024754,             0.00024754
                     79,                 2.7911,                 2.6087,                 2.0916,                0.64704,                0.33727,                0.36792,                0.22807,                 2.8335,                 2.9321,                 2.1788,             0.00024556,             0.00024556,             0.00024556
                     80,                 2.7848,                 2.6341,                 2.0966,                0.62389,                0.33545,                 0.3719,                0.22963,                 2.8221,                 2.9474,                 2.1868,             0.00024358,             0.00024358,             0.00024358
                     81,                 2.7606,                 2.5856,                 2.0911,                0.65001,                 0.3387,                 0.3702,                0.23168,                 2.7981,                 2.9024,                 2.1793,              0.0002416,              0.0002416,              0.0002416
                     82,                 2.7659,                  2.582,                 2.0913,                0.62973,                0.34645,                0.38422,                0.24236,                 2.8243,                  2.938,                 2.1751,             0.00023962,             0.00023962,             0.00023962
                     83,                 2.7783,                 2.5765,                 2.0928,                0.61221,                0.35253,                0.37829,                0.23559,                 2.8493,                 2.9213,                 2.1833,             0.00023764,             0.00023764,             0.00023764
                     84,                  2.754,                  2.556,                 2.0885,                0.60517,                0.37193,                0.38021,                0.23613,                 2.8392,                 2.9613,                 2.1835,             0.00023566,             0.00023566,             0.00023566
