                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5958,                 2.1291,                 2.0668,                0.59694,                0.36832,                 0.4149,                 0.2545,                 2.7643,                 2.5614,                 2.2353,             0.00033466,             0.00033466,             0.00033466
                     35,                 2.5496,                   2.09,                  2.061,                0.47384,                 0.4277,                0.44069,                0.26923,                 2.7441,                 2.5522,                 2.2388,             0.00033268,             0.00033268,             0.00033268
                     36,                 2.5617,                  2.113,                 2.0642,                 0.5889,                0.38891,                0.44239,                0.26146,                  2.752,                 2.5631,                 2.2481,              0.0003307,              0.0003307,              0.0003307
                     37,                 2.5648,                 2.0778,                 2.0576,                 0.5597,                0.39699,                0.45067,                0.26427,                 2.7568,                 2.6221,                 2.2336,             0.00032872,             0.00032872,             0.00032872
                     38,                 2.5728,                 2.0827,                 2.0494,                 0.5252,                0.38334,                0.42561,                0.25475,                 2.8158,                 2.6388,                 2.2517,             0.00032674,             0.00032674,             0.00032674
                     39,                 2.5794,                 2.0782,                 2.0535,                0.64417,                0.39033,                0.47363,                0.25229,                 2.8437,                 2.6141,                 2.2839,             0.00032476,             0.00032476,             0.00032476
                     40,                 2.5326,                  2.042,                 2.0404,                0.55241,                0.38664,                 0.4323,                0.24947,                 2.8165,                 2.6334,                 2.2587,             0.00032278,             0.00032278,             0.00032278
                     41,                 2.5215,                 2.0131,                 2.0389,                0.71736,                0.35085,                0.43839,                 0.2637,                 2.8076,                 2.6403,                 2.2626,              0.0003208,              0.0003208,              0.0003208
                     42,                 2.5424,                 2.0318,                 2.0427,                0.58129,                0.40503,                0.47775,                0.27321,                 2.8182,                 2.6439,                 2.2641,             0.00031882,             0.00031882,             0.00031882
                     43,                 2.5425,                 2.0293,                 2.0357,                0.59379,                0.37802,                0.42729,                0.25984,                 2.7855,                 2.5822,                 2.2654,             0.00031684,             0.00031684,             0.00031684
                     44,                 2.5247,                  2.007,                 2.0388,                0.57663,                0.38792,                0.43784,                0.26061,                 2.8301,                 2.6262,                  2.276,             0.00031486,             0.00031486,             0.00031486
                     45,                 2.5289,                 1.9986,                 2.0276,                0.60063,                0.39748,                0.41979,                0.24929,                 2.8162,                 2.6172,                 2.2761,             0.00031288,             0.00031288,             0.00031288
                     46,                 2.5026,                 1.9813,                 2.0304,                0.68842,                0.37102,                 0.4986,                0.28433,                  2.749,                 2.5899,                 2.2161,              0.0003109,              0.0003109,              0.0003109
                     47,                 2.5179,                 1.9887,                 2.0255,                0.56366,                0.44408,                0.44105,                0.26201,                 2.8331,                 2.6079,                 2.2692,             0.00030892,             0.00030892,             0.00030892
