                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4051,                 1.7687,                 2.0895,                0.62862,                0.40944,                 0.5167,                0.29782,                 2.7512,                 2.3716,                 2.4209,             0.00033466,             0.00033466,             0.00033466
                     35,                 2.3753,                   1.74,                 2.0876,                0.43347,                0.52978,                0.44438,                0.26544,                 2.8011,                 2.3981,                 2.4477,             0.00033268,             0.00033268,             0.00033268
                     36,                 2.3764,                 1.7481,                 2.0911,                0.63822,                0.47173,                0.51379,                0.29303,                 2.7532,                 2.3742,                  2.421,              0.0003307,              0.0003307,              0.0003307
                     37,                  2.379,                 1.7076,                 2.0743,                0.61676,                0.46187,                0.50253,                0.27943,                 2.8153,                 2.4691,                 2.4779,             0.00032872,             0.00032872,             0.00032872
                     38,                 2.3767,                 1.7072,                   2.06,                0.70084,                0.39421,                0.51589,                0.29109,                 2.7994,                 2.4525,                 2.4237,             0.00032674,             0.00032674,             0.00032674
                     39,                 2.3655,                 1.7018,                 2.0623,                 0.6047,                0.47264,                0.50743,                0.29098,                 2.8131,                 2.4917,                 2.4498,             0.00032476,             0.00032476,             0.00032476
                     40,                 2.3306,                 1.6752,                  2.055,                0.71563,                0.44623,                0.50831,                0.28495,                 2.8403,                 2.4693,                  2.444,             0.00032278,             0.00032278,             0.00032278
                     41,                 2.3302,                 1.6769,                 2.0613,                0.38513,                0.46777,                0.44107,                0.26966,                 2.7463,                 2.4508,                 2.4086,              0.0003208,              0.0003208,              0.0003208
                     42,                 2.3328,                 1.6655,                 2.0503,                0.55377,                0.54956,                0.51796,                0.29072,                 2.8017,                 2.4992,                  2.419,             0.00031882,             0.00031882,             0.00031882
                     43,                  2.325,                 1.6501,                 2.0393,                0.67102,                0.45504,                0.52446,                0.29619,                 2.7576,                 2.4645,                 2.4151,             0.00031684,             0.00031684,             0.00031684
                     44,                 2.3123,                 1.6233,                 2.0498,                0.55788,                0.49995,                0.49289,                0.27767,                 2.7629,                 2.4894,                 2.4144,             0.00031486,             0.00031486,             0.00031486
                     45,                 2.3139,                  1.616,                 2.0283,                0.63129,                0.50045,                0.50545,                0.28918,                 2.7799,                  2.492,                 2.4273,             0.00031288,             0.00031288,             0.00031288
                     46,                 2.2922,                 1.5957,                 2.0352,                0.46135,                0.52254,                0.49078,                0.27671,                 2.7756,                 2.4602,                 2.4253,              0.0003109,              0.0003109,              0.0003109
                     47,                 2.2982,                 1.6023,                 2.0332,                0.55695,                0.49638,                0.48275,                0.27333,                 2.7915,                 2.5131,                 2.4439,             0.00030892,             0.00030892,             0.00030892
                     48,                 2.2837,                 1.5923,                 2.0208,                  0.611,                0.47796,                0.51271,                0.29265,                 2.7457,                 2.4499,                  2.413,             0.00030694,             0.00030694,             0.00030694
                     49,                 2.2578,                 1.5673,                 2.0267,                0.72657,                0.45855,                0.50953,                0.29799,                 2.7736,                 2.5452,                 2.4528,             0.00030496,             0.00030496,             0.00030496
                     50,                  2.283,                 1.5805,                 2.0259,                0.61297,                0.46909,                0.49398,                0.28321,                 2.7559,                 2.4108,                 2.3976,             0.00030298,             0.00030298,             0.00030298
                     51,                  2.271,                 1.5564,                 2.0114,                0.54863,                0.53127,                0.51499,                0.29449,                 2.7641,                 2.5354,                 2.4279,               0.000301,               0.000301,               0.000301
                     52,                  2.265,                 1.5437,                 2.0153,                0.55778,                0.47261,                0.51664,                0.29321,                 2.7516,                  2.409,                 2.4266,             0.00029902,             0.00029902,             0.00029902
                     53,                 2.2283,                 1.5249,                 2.0056,                0.72575,                0.43412,                0.50287,                0.28733,                 2.7949,                 2.4849,                 2.4531,             0.00029704,             0.00029704,             0.00029704
                     54,                 2.2264,                 1.5185,                 2.0086,                0.60474,                0.48725,                 0.5075,                0.28719,                 2.7951,                 2.5296,                 2.4577,             0.00029506,             0.00029506,             0.00029506
                     55,                 2.2425,                 1.5224,                 2.0003,                0.54297,                0.48566,                0.50942,                0.29174,                 2.7692,                 2.5132,                 2.4405,             0.00029308,             0.00029308,             0.00029308
                     56,                 2.2156,                 1.5024,                 1.9997,                0.52732,                0.52888,                0.51234,                0.29517,                 2.7431,                 2.4707,                 2.4239,              0.0002911,              0.0002911,              0.0002911
                     57,                 2.1972,                 1.4871,                 1.9964,                 0.7518,                0.43931,                0.49684,                0.28522,                 2.7364,                  2.513,                 2.4178,             0.00028912,             0.00028912,             0.00028912
                     58,                 2.1975,                 1.4704,                 1.9931,                0.54863,                0.47611,                0.51241,                0.29467,                 2.8014,                 2.5049,                 2.4589,             0.00028714,             0.00028714,             0.00028714
                     59,                 2.2074,                 1.4785,                 1.9947,                0.53824,                0.46692,                 0.4871,                0.27497,                 2.8085,                 2.5331,                 2.4704,             0.00028516,             0.00028516,             0.00028516
                     60,                 2.1918,                 1.4625,                  1.992,                  0.587,                0.49756,                0.51533,                0.29453,                 2.7466,                 2.4712,                 2.4245,             0.00028318,             0.00028318,             0.00028318
                     61,                 2.1812,                 1.4525,                 1.9954,                0.62915,                0.48817,                0.51433,                0.29176,                 2.7912,                 2.5242,                 2.4773,              0.0002812,              0.0002812,              0.0002812
